Algorithm | Silhouette Score | Cluster Size | Features | Cluster Distribution
Agglomerative-complete-cosine | 0.1945 | 4 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 554, 2: 8, 1: 6, 3: 1}
Agglomerative-complete-cosine | 0.1316 | 5 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 551, 2: 8, 1: 6, 4: 3, 3: 1}
Agglomerative-single-euclidean | -0.1489 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 568, 1: 1}
Agglomerative-single-manhattan | -0.1489 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 568, 1: 1}
Agglomerative-single-euclidean | -0.2647 | 3 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 566, 2: 2, 1: 1}
Agglomerative-single-manhattan | -0.2647 | 3 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 566, 2: 2, 1: 1}
Agglomerative-single-euclidean | -0.2798 | 4 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 565, 2: 2, 3: 1, 1: 1}
Agglomerative-single-manhattan | -0.3688 | 4 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 565, 2: 2, 3: 1, 1: 1}
Agglomerative-single-euclidean | -0.3703 | 5 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 564, 2: 2, 3: 1, 4: 1, 1: 1}
Agglomerative-single-manhattan | -0.3743 | 5 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 564, 2: 2, 3: 1, 4: 1, 1: 1}


Best Silhouette Score:
KMeans | 0.5853 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {1: 288, 0: 281}
